date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,305000.0,3.72,7,"Cape Coral-Fort Myers, FL",7390.0,85.0,0,Jul-2016
2016-08-01,1,299900.0,3.73,8,"Cape Coral-Fort Myers, FL",7137.0,88.0,0,Aug-2016
2016-09-01,2,299850.0,3.66,9,"Cape Coral-Fort Myers, FL",7110.0,86.0,0,Sep-2016
2016-10-01,3,299900.0,3.64,10,"Cape Coral-Fort Myers, FL",7594.0,78.0,0,Oct-2016
2016-11-01,4,308886.0,3.66,11,"Cape Coral-Fort Myers, FL",8264.0,70.0,0,Nov-2016
2016-12-01,5,309900.0,3.48,12,"Cape Coral-Fort Myers, FL",8516.0,72.0,0,Dec-2016
2017-01-01,6,309900.0,3.45,1,"Cape Coral-Fort Myers, FL",9130.0,73.0,0,Jan-2017
2017-02-01,7,309450.0,3.5,2,"Cape Coral-Fort Myers, FL",9659.0,68.0,0,Feb-2017
2017-03-01,8,302478.0,3.52,3,"Cape Coral-Fort Myers, FL",9716.0,66.0,0,Mar-2017
2017-04-01,9,299999.0,4.03,4,"Cape Coral-Fort Myers, FL",9342.0,73.0,0,Apr-2017
2017-05-01,10,299900.0,4.32,5,"Cape Coral-Fort Myers, FL",8767.0,80.0,0,May-2017
2017-06-01,11,299900.0,4.2,6,"Cape Coral-Fort Myers, FL",8202.0,84.0,0,Jun-2017
2017-07-01,12,299900.0,4.19,7,"Cape Coral-Fort Myers, FL",7834.0,85.0,0,Jul-2017
2017-08-01,13,299000.0,4.3,8,"Cape Coral-Fort Myers, FL",7392.0,89.0,0,Aug-2017
2017-09-01,14,298000.0,4.1,9,"Cape Coral-Fort Myers, FL",7131.0,93.0,0,Sep-2017
2017-10-01,15,298248.0,4.05,10,"Cape Coral-Fort Myers, FL",7387.0,87.0,0,Oct-2017
2017-11-01,16,299700.0,3.94,11,"Cape Coral-Fort Myers, FL",7887.0,79.0,0,Nov-2017
2017-12-01,17,299900.0,4.03,12,"Cape Coral-Fort Myers, FL",8448.0,65.0,0,Dec-2017
2018-01-01,18,299900.0,3.93,1,"Cape Coral-Fort Myers, FL",9100.0,67.0,0,Jan-2018
2018-02-01,19,299900.0,3.83,2,"Cape Coral-Fort Myers, FL",9580.0,65.0,0,Feb-2018
2018-03-01,20,299900.0,3.94,3,"Cape Coral-Fort Myers, FL",9691.0,62.0,0,Mar-2018
2018-04-01,21,299900.0,3.95,4,"Cape Coral-Fort Myers, FL",9401.0,72.0,0,Apr-2018
2018-05-01,22,299000.0,3.99,5,"Cape Coral-Fort Myers, FL",9063.0,75.0,0,May-2018
2018-06-01,23,294751.0,4.15,6,"Cape Coral-Fort Myers, FL",8528.0,81.0,0,Jun-2018
2018-07-01,24,295000.0,4.4,7,"Cape Coral-Fort Myers, FL",8138.0,85.0,0,Jul-2018
2018-08-01,25,289700.0,4.46,8,"Cape Coral-Fort Myers, FL",7931.0,86.0,0,Aug-2018
2018-09-01,26,289000.0,4.58,9,"Cape Coral-Fort Myers, FL",8005.0,85.0,0,Sep-2018
2018-10-01,27,290000.0,4.66,10,"Cape Coral-Fort Myers, FL",8504.0,77.0,0,Oct-2018
2018-11-01,28,298450.0,4.62,11,"Cape Coral-Fort Myers, FL",9148.0,71.0,0,Nov-2018
2018-12-01,29,294900.0,4.54,12,"Cape Coral-Fort Myers, FL",9833.0,72.0,0,Dec-2018
2019-01-01,30,294450.0,4.6,1,"Cape Coral-Fort Myers, FL",10451.0,74.0,0,Jan-2019
2019-02-01,31,298400.0,4.72,2,"Cape Coral-Fort Myers, FL",11074.0,74.0,0,Feb-2019
2019-03-01,32,298786.0,4.9,3,"Cape Coral-Fort Myers, FL",10789.0,76.0,0,Mar-2019
2019-04-01,33,298349.0,4.94,4,"Cape Coral-Fort Myers, FL",10329.0,79.0,0,Apr-2019
2019-05-01,34,295000.0,4.75,5,"Cape Coral-Fort Myers, FL",9626.0,85.0,0,May-2019
2019-06-01,35,292900.0,4.51,6,"Cape Coral-Fort Myers, FL",8837.0,88.0,0,Jun-2019
2019-07-01,36,291500.0,4.41,7,"Cape Coral-Fort Myers, FL",8284.0,92.0,0,Jul-2019
2019-08-01,37,294636.0,4.41,8,"Cape Coral-Fort Myers, FL",7974.0,87.0,0,Aug-2019
2019-09-01,38,297091.0,4.2,9,"Cape Coral-Fort Myers, FL",7823.0,82.0,0,Sep-2019
2019-10-01,39,299000.0,4.14,10,"Cape Coral-Fort Myers, FL",7755.0,77.0,0,Oct-2019
2019-11-01,40,299900.0,3.84,11,"Cape Coral-Fort Myers, FL",8009.0,68.0,0,Nov-2019
2019-12-01,41,302500.0,3.81,12,"Cape Coral-Fort Myers, FL",8043.0,72.0,0,Dec-2019
2020-01-01,42,307000.0,3.75,1,"Cape Coral-Fort Myers, FL",8219.0,75.0,0,Jan-2020
2020-02-01,43,317200.0,3.73,2,"Cape Coral-Fort Myers, FL",8201.0,72.0,0,Feb-2020
2020-03-01,44,319999.0,3.78,3,"Cape Coral-Fort Myers, FL",7983.0,67.0,0,Mar-2020
2020-04-01,45,314500.0,3.75,4,"Cape Coral-Fort Myers, FL",7801.0,76.0,0,Apr-2020
2020-05-01,46,319500.0,3.74,5,"Cape Coral-Fort Myers, FL",7198.0,86.0,0,May-2020
2020-06-01,47,324950.0,3.72,6,"Cape Coral-Fort Myers, FL",6495.0,95.0,0,Jun-2020
2020-07-01,48,325000.0,3.49,7,"Cape Coral-Fort Myers, FL",5909.0,90.0,0,Jul-2020
2020-08-01,49,325000.0,3.65,8,"Cape Coral-Fort Myers, FL",5443.0,77.0,0,Aug-2020
2020-09-01,50,323333.0,3.33,9,"Cape Coral-Fort Myers, FL",5092.0,74.0,0,Sep-2020
2020-10-01,51,325000.0,3.28,10,"Cape Coral-Fort Myers, FL",4852.0,65.0,0,Oct-2020
2020-11-01,52,324900.0,3.21,11,"Cape Coral-Fort Myers, FL",4593.0,61.0,0,Nov-2020
2020-12-01,53,324288.0,3.07,12,"Cape Coral-Fort Myers, FL",4352.0,64.0,0,Dec-2020
2021-01-01,54,319900.0,2.99,1,"Cape Coral-Fort Myers, FL",3807.0,62.0,0,Jan-2021
2021-02-01,55,321950.0,2.93,2,"Cape Coral-Fort Myers, FL",2922.0,51.0,0,Feb-2021
2021-03-01,56,334950.0,2.88,3,"Cape Coral-Fort Myers, FL",2134.0,47.0,0,Mar-2021
2021-04-01,57,349450.0,2.84,4,"Cape Coral-Fort Myers, FL",1924.0,40.0,0,Apr-2021
2021-05-01,58,365000.0,2.71,5,"Cape Coral-Fort Myers, FL",1662.0,39.0,0,May-2021
2021-06-01,59,371125.0,2.79,6,"Cape Coral-Fort Myers, FL",1804.0,37.0,0,Jun-2021
2021-07-01,60,375000.0,2.97,7,"Cape Coral-Fort Myers, FL",1879.0,40.0,0,Jul-2021
2021-08-01,61,394950.0,3.17,8,"Cape Coral-Fort Myers, FL",1951.0,46.0,0,Aug-2021
2021-09-01,62,399000.0,3.18,9,"Cape Coral-Fort Myers, FL",1976.0,49.0,0,Sep-2021
2021-10-01,63,424900.0,3.0,10,"Cape Coral-Fort Myers, FL",1929.0,47.0,0,Oct-2021
2021-11-01,64,429500.0,3.02,11,"Cape Coral-Fort Myers, FL",1854.0,46.0,0,Nov-2021
2021-12-01,65,437000.0,2.98,12,"Cape Coral-Fort Myers, FL",1821.0,49.0,0,Dec-2021
2022-01-01,66,430000.0,2.87,1,"Cape Coral-Fort Myers, FL",1636.0,49.0,0,Jan-2022
2022-02-01,67,468125.0,3.01,2,"Cape Coral-Fort Myers, FL",1533.0,33.0,0,Feb-2022
2022-03-01,68,488500.0,3.14,3,"Cape Coral-Fort Myers, FL",1681.0,29.0,0,Mar-2022
2022-04-01,69,495000.0,3.1,4,"Cape Coral-Fort Myers, FL",1973.0,30.0,0,Apr-2022
2022-05-01,70,499000.0,3.12,5,"Cape Coral-Fort Myers, FL",2526.0,31.0,0,May-2022
2022-06-01,71,499450.0,3.56,6,"Cape Coral-Fort Myers, FL",3219.0,35.0,0,Jun-2022
2022-07-01,72,485250.0,3.92,7,"Cape Coral-Fort Myers, FL",3921.0,40.0,0,Jul-2022
2022-08-01,73,475000.0,4.67,8,"Cape Coral-Fort Myers, FL",4198.0,47.0,0,Aug-2022
2022-09-01,74,465000.0,5.11,9,"Cape Coral-Fort Myers, FL",4230.0,54.0,517257,Sep-2022
2022-10-01,75,459900.0,5.3,10,"Cape Coral-Fort Myers, FL",3849.0,67.0,499223,Oct-2022
2022-11-01,76,459950.0,5.81,11,"Cape Coral-Fort Myers, FL",3958.0,73.0,487429,Nov-2022
2022-12-01,77,465000.0,5.54,12,"Cape Coral-Fort Myers, FL",4240.0,63.0,504498,Dec-2022
2023-01-01,78,471950.0,5.55,1,"Cape Coral-Fort Myers, FL",4530.0,59.0,510015,Jan-2023
2023-02-01,79,479500.0,6.7,2,"Cape Coral-Fort Myers, FL",4745.0,50.0,514622,Feb-2023
2023-03-01,80,498750.0,7.08,3,"Cape Coral-Fort Myers, FL",5112.0,45.0,518887,Mar-2023
2023-04-01,81,499000.0,7.08,4,"Cape Coral-Fort Myers, FL",5502.0,47.0,517642,Apr-2023
2023-05-01,82,494500.0,6.49,5,"Cape Coral-Fort Myers, FL",5628.0,54.0,513405,May-2023
2023-06-01,83,486875.0,6.48,6,"Cape Coral-Fort Myers, FL",5818.0,58.0,509854,Jun-2023
2023-07-01,84,480000.0,6.5,7,"Cape Coral-Fort Myers, FL",5924.0,65.0,497325,Jul-2023
