date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,224900.0,3.72,7,"Victoria, TX",380.0,68.0,0,Jul-2016
2016-08-01,1,219925.0,3.73,8,"Victoria, TX",402.0,69.0,0,Aug-2016
2016-09-01,2,214000.0,3.66,9,"Victoria, TX",396.0,75.0,0,Sep-2016
2016-10-01,3,209900.0,3.64,10,"Victoria, TX",412.0,78.0,0,Oct-2016
2016-11-01,4,206009.0,3.66,11,"Victoria, TX",415.0,80.0,0,Nov-2016
2016-12-01,5,202900.0,3.48,12,"Victoria, TX",404.0,82.0,0,Dec-2016
2017-01-01,6,199225.0,3.45,1,"Victoria, TX",373.0,81.0,0,Jan-2017
2017-02-01,7,197450.0,3.5,2,"Victoria, TX",366.0,76.0,0,Feb-2017
2017-03-01,8,199321.0,3.52,3,"Victoria, TX",359.0,71.0,0,Mar-2017
2017-04-01,9,207485.0,4.03,4,"Victoria, TX",365.0,66.0,0,Apr-2017
2017-05-01,10,214925.0,4.32,5,"Victoria, TX",399.0,57.0,0,May-2017
2017-06-01,11,218396.0,4.2,6,"Victoria, TX",397.0,62.0,0,Jun-2017
2017-07-01,12,214250.0,4.19,7,"Victoria, TX",420.0,71.0,0,Jul-2017
2017-08-01,13,211950.0,4.3,8,"Victoria, TX",417.0,68.0,0,Aug-2017
2017-09-01,14,212200.0,4.1,9,"Victoria, TX",391.0,80.0,0,Sep-2017
2017-10-01,15,213425.0,4.05,10,"Victoria, TX",361.0,96.0,0,Oct-2017
2017-11-01,16,229900.0,3.94,11,"Victoria, TX",299.0,109.0,0,Nov-2017
2017-12-01,17,229900.0,4.03,12,"Victoria, TX",274.0,103.0,0,Dec-2017
2018-01-01,18,229938.0,3.93,1,"Victoria, TX",266.0,96.0,0,Jan-2018
2018-02-01,19,222225.0,3.83,2,"Victoria, TX",256.0,89.0,0,Feb-2018
2018-03-01,20,223750.0,3.94,3,"Victoria, TX",256.0,86.0,0,Mar-2018
2018-04-01,21,232400.0,3.95,4,"Victoria, TX",263.0,56.0,0,Apr-2018
2018-05-01,22,224450.0,3.99,5,"Victoria, TX",273.0,51.0,0,May-2018
2018-06-01,23,219893.0,4.15,6,"Victoria, TX",274.0,65.0,0,Jun-2018
2018-07-01,24,228225.0,4.4,7,"Victoria, TX",276.0,73.0,0,Jul-2018
2018-08-01,25,221600.0,4.46,8,"Victoria, TX",291.0,60.0,0,Aug-2018
2018-09-01,26,221886.0,4.58,9,"Victoria, TX",283.0,61.0,0,Sep-2018
2018-10-01,27,229950.0,4.66,10,"Victoria, TX",266.0,71.0,0,Oct-2018
2018-11-01,28,234900.0,4.62,11,"Victoria, TX",273.0,75.0,0,Nov-2018
2018-12-01,29,239400.0,4.54,12,"Victoria, TX",255.0,78.0,0,Dec-2018
2019-01-01,30,237450.0,4.6,1,"Victoria, TX",241.0,77.0,0,Jan-2019
2019-02-01,31,232175.0,4.72,2,"Victoria, TX",234.0,74.0,0,Feb-2019
2019-03-01,32,240421.0,4.9,3,"Victoria, TX",232.0,68.0,0,Mar-2019
2019-04-01,33,245024.0,4.94,4,"Victoria, TX",232.0,66.0,0,Apr-2019
2019-05-01,34,242450.0,4.75,5,"Victoria, TX",251.0,63.0,0,May-2019
2019-06-01,35,244999.0,4.51,6,"Victoria, TX",280.0,61.0,0,Jun-2019
2019-07-01,36,248686.0,4.41,7,"Victoria, TX",284.0,66.0,0,Jul-2019
2019-08-01,37,243791.0,4.41,8,"Victoria, TX",298.0,65.0,0,Aug-2019
2019-09-01,38,234627.0,4.2,9,"Victoria, TX",314.0,67.0,0,Sep-2019
2019-10-01,39,226844.0,4.14,10,"Victoria, TX",324.0,71.0,0,Oct-2019
2019-11-01,40,225000.0,3.84,11,"Victoria, TX",302.0,81.0,0,Nov-2019
2019-12-01,41,221500.0,3.81,12,"Victoria, TX",294.0,86.0,0,Dec-2019
2020-01-01,42,220450.0,3.75,1,"Victoria, TX",286.0,84.0,0,Jan-2020
2020-02-01,43,224900.0,3.73,2,"Victoria, TX",278.0,80.0,0,Feb-2020
2020-03-01,44,227450.0,3.78,3,"Victoria, TX",262.0,71.0,0,Mar-2020
2020-04-01,45,229900.0,3.75,4,"Victoria, TX",258.0,77.0,0,Apr-2020
2020-05-01,46,242900.0,3.74,5,"Victoria, TX",236.0,74.0,0,May-2020
2020-06-01,47,253500.0,3.72,6,"Victoria, TX",232.0,74.0,0,Jun-2020
2020-07-01,48,265700.0,3.49,7,"Victoria, TX",240.0,68.0,0,Jul-2020
2020-08-01,49,271400.0,3.65,8,"Victoria, TX",226.0,71.0,0,Aug-2020
2020-09-01,50,274550.0,3.33,9,"Victoria, TX",219.0,80.0,0,Sep-2020
2020-10-01,51,265700.0,3.28,10,"Victoria, TX",229.0,82.0,0,Oct-2020
2020-11-01,52,268921.0,3.21,11,"Victoria, TX",231.0,88.0,0,Nov-2020
2020-12-01,53,261200.0,3.07,12,"Victoria, TX",225.0,74.0,0,Dec-2020
2021-01-01,54,271150.0,2.99,1,"Victoria, TX",197.0,82.0,0,Jan-2021
2021-02-01,55,271425.0,2.93,2,"Victoria, TX",159.0,87.0,0,Feb-2021
2021-03-01,56,277400.0,2.88,3,"Victoria, TX",142.0,66.0,0,Mar-2021
2021-04-01,57,277446.0,2.84,4,"Victoria, TX",130.0,60.0,0,Apr-2021
2021-05-01,58,284900.0,2.71,5,"Victoria, TX",123.0,57.0,0,May-2021
2021-06-01,59,285000.0,2.79,6,"Victoria, TX",131.0,47.0,0,Jun-2021
2021-07-01,60,256900.0,2.97,7,"Victoria, TX",140.0,53.0,0,Jul-2021
2021-08-01,61,271675.0,3.17,8,"Victoria, TX",168.0,42.0,0,Aug-2021
2021-09-01,62,269750.0,3.18,9,"Victoria, TX",176.0,49.0,0,Sep-2021
2021-10-01,63,279700.0,3.0,10,"Victoria, TX",188.0,54.0,0,Oct-2021
2021-11-01,64,284575.0,3.02,11,"Victoria, TX",186.0,62.0,0,Nov-2021
2021-12-01,65,278125.0,2.98,12,"Victoria, TX",167.0,74.0,0,Dec-2021
