date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,163990.0,3.72,7,"Fayetteville, NC",3580.0,77.0,0,Jul-2016
2016-08-01,1,160495.0,3.73,8,"Fayetteville, NC",3581.0,79.0,0,Aug-2016
2016-09-01,2,159900.0,3.66,9,"Fayetteville, NC",3590.0,80.0,0,Sep-2016
2016-10-01,3,156900.0,3.64,10,"Fayetteville, NC",3508.0,82.0,0,Oct-2016
2016-11-01,4,155945.0,3.66,11,"Fayetteville, NC",3441.0,89.0,0,Nov-2016
2016-12-01,5,157000.0,3.48,12,"Fayetteville, NC",3342.0,96.0,0,Dec-2016
2017-01-01,6,161250.0,3.45,1,"Fayetteville, NC",3153.0,98.0,0,Jan-2017
2017-02-01,7,166573.0,3.5,2,"Fayetteville, NC",3117.0,94.0,0,Feb-2017
2017-03-01,8,168973.0,3.52,3,"Fayetteville, NC",3153.0,81.0,0,Mar-2017
2017-04-01,9,168700.0,4.03,4,"Fayetteville, NC",3227.0,72.0,0,Apr-2017
2017-05-01,10,169900.0,4.32,5,"Fayetteville, NC",3219.0,72.0,0,May-2017
2017-06-01,11,172223.0,4.2,6,"Fayetteville, NC",3217.0,75.0,0,Jun-2017
2017-07-01,12,173000.0,4.19,7,"Fayetteville, NC",3322.0,74.0,0,Jul-2017
2017-08-01,13,172700.0,4.3,8,"Fayetteville, NC",3320.0,74.0,0,Aug-2017
2017-09-01,14,169900.0,4.1,9,"Fayetteville, NC",3321.0,78.0,0,Sep-2017
2017-10-01,15,169700.0,4.05,10,"Fayetteville, NC",3281.0,79.0,0,Oct-2017
2017-11-01,16,169900.0,3.94,11,"Fayetteville, NC",3166.0,82.0,0,Nov-2017
2017-12-01,17,169900.0,4.03,12,"Fayetteville, NC",3048.0,89.0,0,Dec-2017
2018-01-01,18,169900.0,3.93,1,"Fayetteville, NC",2961.0,95.0,0,Jan-2018
2018-02-01,19,170750.0,3.83,2,"Fayetteville, NC",2892.0,92.0,0,Feb-2018
2018-03-01,20,174900.0,3.94,3,"Fayetteville, NC",2913.0,74.0,0,Mar-2018
2018-04-01,21,178075.0,3.95,4,"Fayetteville, NC",2866.0,69.0,0,Apr-2018
2018-05-01,22,177995.0,3.99,5,"Fayetteville, NC",2876.0,66.0,0,May-2018
2018-06-01,23,176950.0,4.15,6,"Fayetteville, NC",2828.0,66.0,0,Jun-2018
2018-07-01,24,177875.0,4.4,7,"Fayetteville, NC",2821.0,69.0,0,Jul-2018
2018-08-01,25,179700.0,4.46,8,"Fayetteville, NC",2751.0,71.0,0,Aug-2018
