date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,329000.0,3.72,7,"Los Alamos, NM",33.0,49.0,0,Jul-2016
2016-08-01,1,353750.0,3.73,8,"Los Alamos, NM",36.0,30.0,0,Aug-2016
2016-09-01,2,371125.0,3.66,9,"Los Alamos, NM",36.0,43.0,0,Sep-2016
2016-10-01,3,430000.0,3.64,10,"Los Alamos, NM",26.0,64.0,0,Oct-2016
2016-11-01,4,401250.0,3.66,11,"Los Alamos, NM",21.0,74.0,0,Nov-2016
2016-12-01,5,300000.0,3.48,12,"Los Alamos, NM",21.0,51.0,0,Dec-2016
2017-01-01,6,240000.0,3.45,1,"Los Alamos, NM",21.0,37.0,0,Jan-2017
2017-02-01,7,293750.0,3.5,2,"Los Alamos, NM",19.0,23.0,0,Feb-2017
2017-03-01,8,292250.0,3.52,3,"Los Alamos, NM",20.0,23.0,0,Mar-2017
2017-04-01,9,332500.0,4.03,4,"Los Alamos, NM",40.0,16.0,0,Apr-2017
2017-05-01,10,374500.0,4.32,5,"Los Alamos, NM",35.0,37.0,0,May-2017
2017-06-01,11,432750.0,4.2,6,"Los Alamos, NM",31.0,38.0,0,Jun-2017
2017-07-01,12,400000.0,4.19,7,"Los Alamos, NM",34.0,43.0,0,Jul-2017
2017-08-01,13,397000.0,4.3,8,"Los Alamos, NM",35.0,46.0,0,Aug-2017
2017-09-01,14,362500.0,4.1,9,"Los Alamos, NM",29.0,52.0,0,Sep-2017
2017-10-01,15,399500.0,4.05,10,"Los Alamos, NM",29.0,61.0,0,Oct-2017
2017-11-01,16,447225.0,3.94,11,"Los Alamos, NM",27.0,50.0,0,Nov-2017
2017-12-01,17,427000.0,4.03,12,"Los Alamos, NM",24.0,45.0,0,Dec-2017
2018-01-01,18,426000.0,3.93,1,"Los Alamos, NM",22.0,41.0,0,Jan-2018
2018-02-01,19,382250.0,3.83,2,"Los Alamos, NM",23.0,43.0,0,Feb-2018
2018-03-01,20,399500.0,3.94,3,"Los Alamos, NM",20.0,30.0,0,Mar-2018
2018-04-01,21,353500.0,3.95,4,"Los Alamos, NM",23.0,18.0,0,Apr-2018
2018-05-01,22,346250.0,3.99,5,"Los Alamos, NM",19.0,14.0,0,May-2018
2018-06-01,23,340000.0,4.15,6,"Los Alamos, NM",25.0,11.0,0,Jun-2018
2018-07-01,24,407500.0,4.4,7,"Los Alamos, NM",24.0,20.0,0,Jul-2018
2018-08-01,25,398422.0,4.46,8,"Los Alamos, NM",26.0,34.0,0,Aug-2018
2018-09-01,26,419500.0,4.58,9,"Los Alamos, NM",26.0,39.0,0,Sep-2018
2018-10-01,27,399000.0,4.66,10,"Los Alamos, NM",20.0,42.0,0,Oct-2018
2018-11-01,28,387625.0,4.62,11,"Los Alamos, NM",15.0,36.0,0,Nov-2018
2018-12-01,29,371000.0,4.54,12,"Los Alamos, NM",14.0,32.0,0,Dec-2018
2019-01-01,30,380000.0,4.6,1,"Los Alamos, NM",10.0,37.0,0,Jan-2019
2019-02-01,31,371500.0,4.72,2,"Los Alamos, NM",9.0,29.0,0,Feb-2019
2019-03-01,32,436764.0,4.9,3,"Los Alamos, NM",8.0,57.0,0,Mar-2019
2019-04-01,33,426514.0,4.94,4,"Los Alamos, NM",13.0,31.0,0,Apr-2019
2019-05-01,34,378375.0,4.75,5,"Los Alamos, NM",17.0,21.0,0,May-2019
2019-06-01,35,389000.0,4.51,6,"Los Alamos, NM",22.0,26.0,0,Jun-2019
2019-07-01,36,395000.0,4.41,7,"Los Alamos, NM",19.0,26.0,0,Jul-2019
2019-08-01,37,446002.0,4.41,8,"Los Alamos, NM",19.0,26.0,0,Aug-2019
2019-09-01,38,440004.0,4.2,9,"Los Alamos, NM",19.0,21.0,0,Sep-2019
2019-10-01,39,435348.0,4.14,10,"Los Alamos, NM",20.0,21.0,0,Oct-2019
2019-11-01,40,411983.0,3.84,11,"Los Alamos, NM",12.0,54.0,0,Nov-2019
2019-12-01,41,417250.0,3.81,12,"Los Alamos, NM",9.0,72.0,0,Dec-2019
2020-01-01,42,371000.0,3.75,1,"Los Alamos, NM",10.0,32.0,0,Jan-2020
2020-02-01,43,397500.0,3.73,2,"Los Alamos, NM",8.0,11.0,0,Feb-2020
2020-03-01,44,412000.0,3.78,3,"Los Alamos, NM",11.0,15.0,0,Mar-2020
2020-04-01,45,397000.0,3.75,4,"Los Alamos, NM",16.0,21.0,0,Apr-2020
2020-05-01,46,392000.0,3.74,5,"Los Alamos, NM",15.0,44.0,0,May-2020
2020-06-01,47,448250.0,3.72,6,"Los Alamos, NM",25.0,35.0,0,Jun-2020
2020-07-01,48,459250.0,3.49,7,"Los Alamos, NM",27.0,46.0,0,Jul-2020
2020-08-01,49,445000.0,3.65,8,"Los Alamos, NM",22.0,50.0,0,Aug-2020
2020-09-01,50,541000.0,3.33,9,"Los Alamos, NM",29.0,35.0,0,Sep-2020
2020-10-01,51,535000.0,3.28,10,"Los Alamos, NM",23.0,51.0,0,Oct-2020
2020-11-01,52,524060.0,3.21,11,"Los Alamos, NM",23.0,86.0,0,Nov-2020
2020-12-01,53,499125.0,3.07,12,"Los Alamos, NM",23.0,71.0,0,Dec-2020
2021-01-01,54,487000.0,2.99,1,"Los Alamos, NM",17.0,84.0,0,Jan-2021
2021-02-01,55,378249.0,2.93,2,"Los Alamos, NM",11.0,39.0,0,Feb-2021
2021-03-01,56,334750.0,2.88,3,"Los Alamos, NM",8.0,42.0,0,Mar-2021
2021-04-01,57,411500.0,2.84,4,"Los Alamos, NM",7.0,41.0,0,Apr-2021
2021-05-01,58,425000.0,2.71,5,"Los Alamos, NM",12.0,15.0,0,May-2021
2021-06-01,59,476500.0,2.79,6,"Los Alamos, NM",9.0,37.0,0,Jun-2021
2021-07-01,60,427000.0,2.97,7,"Los Alamos, NM",10.0,7.0,0,Jul-2021
2021-08-01,61,492000.0,3.17,8,"Los Alamos, NM",10.0,21.0,0,Aug-2021
2021-09-01,62,462000.0,3.18,9,"Los Alamos, NM",10.0,52.0,0,Sep-2021
2021-10-01,63,499000.0,3.0,10,"Los Alamos, NM",11.0,32.0,0,Oct-2021
2021-11-01,64,434000.0,3.02,11,"Los Alamos, NM",8.0,32.0,0,Nov-2021
2021-12-01,65,382000.0,2.98,12,"Los Alamos, NM",8.0,45.0,0,Dec-2021
2022-01-01,66,490000.0,2.87,1,"Los Alamos, NM",8.0,15.0,0,Jan-2022
2022-02-01,67,437500.0,3.01,2,"Los Alamos, NM",5.0,72.0,0,Feb-2022
2022-03-01,68,592250.0,3.14,3,"Los Alamos, NM",8.0,10.0,0,Mar-2022
2022-04-01,69,572500.0,3.1,4,"Los Alamos, NM",12.0,10.0,0,Apr-2022
2022-05-01,70,534950.0,3.12,5,"Los Alamos, NM",14.0,22.0,0,May-2022
2022-06-01,71,495750.0,3.56,6,"Los Alamos, NM",15.0,20.0,0,Jun-2022
