date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,144900.0,3.72,7,"Springfield, IL",1047.0,54.0,0,Jul-2016
2016-08-01,1,140975.0,3.73,8,"Springfield, IL",1055.0,65.0,0,Aug-2016
2016-09-01,2,139950.0,3.66,9,"Springfield, IL",1047.0,67.0,0,Sep-2016
2016-10-01,3,145000.0,3.64,10,"Springfield, IL",1025.0,72.0,0,Oct-2016
2016-11-01,4,141050.0,3.66,11,"Springfield, IL",1007.0,71.0,0,Nov-2016
2016-12-01,5,134900.0,3.48,12,"Springfield, IL",888.0,76.0,0,Dec-2016
2017-01-01,6,134400.0,3.45,1,"Springfield, IL",828.0,85.0,0,Jan-2017
2017-02-01,7,134950.0,3.5,2,"Springfield, IL",822.0,92.0,0,Feb-2017
2017-03-01,8,140850.0,3.52,3,"Springfield, IL",895.0,64.0,0,Mar-2017
2017-04-01,9,149900.0,4.03,4,"Springfield, IL",936.0,53.0,0,Apr-2017
2017-05-01,10,156450.0,4.32,5,"Springfield, IL",1006.0,51.0,0,May-2017
2017-06-01,11,159900.0,4.2,6,"Springfield, IL",1023.0,52.0,0,Jun-2017
2017-07-01,12,154950.0,4.19,7,"Springfield, IL",1108.0,53.0,0,Jul-2017
2017-08-01,13,152400.0,4.3,8,"Springfield, IL",1132.0,58.0,0,Aug-2017
2017-09-01,14,149900.0,4.1,9,"Springfield, IL",1092.0,71.0,0,Sep-2017
2017-10-01,15,148650.0,4.05,10,"Springfield, IL",1075.0,77.0,0,Oct-2017
2017-11-01,16,139900.0,3.94,11,"Springfield, IL",1034.0,75.0,0,Nov-2017
2017-12-01,17,139900.0,4.03,12,"Springfield, IL",899.0,81.0,0,Dec-2017
2018-01-01,18,136950.0,3.93,1,"Springfield, IL",829.0,89.0,0,Jan-2018
2018-02-01,19,137500.0,3.83,2,"Springfield, IL",831.0,90.0,0,Feb-2018
2018-03-01,20,139900.0,3.94,3,"Springfield, IL",875.0,68.0,0,Mar-2018
2018-04-01,21,144900.0,3.95,4,"Springfield, IL",886.0,59.0,0,Apr-2018
2018-05-01,22,144650.0,3.99,5,"Springfield, IL",940.0,58.0,0,May-2018
2018-06-01,23,143900.0,4.15,6,"Springfield, IL",1027.0,53.0,0,Jun-2018
2018-07-01,24,140900.0,4.4,7,"Springfield, IL",1065.0,57.0,0,Jul-2018
2018-08-01,25,144900.0,4.46,8,"Springfield, IL",1055.0,63.0,0,Aug-2018
2018-09-01,26,149900.0,4.58,9,"Springfield, IL",1041.0,69.0,0,Sep-2018
2018-10-01,27,149900.0,4.66,10,"Springfield, IL",997.0,74.0,0,Oct-2018
2018-11-01,28,149700.0,4.62,11,"Springfield, IL",951.0,76.0,0,Nov-2018
