date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,229500.0,3.72,7,"Columbia, MO",816.0,57.0,0,Jul-2016
2016-08-01,1,227450.0,3.73,8,"Columbia, MO",827.0,61.0,0,Aug-2016
2016-09-01,2,223725.0,3.66,9,"Columbia, MO",825.0,67.0,0,Sep-2016
2016-10-01,3,215000.0,3.64,10,"Columbia, MO",843.0,68.0,0,Oct-2016
2016-11-01,4,214375.0,3.66,11,"Columbia, MO",775.0,75.0,0,Nov-2016
2016-12-01,5,205900.0,3.48,12,"Columbia, MO",715.0,83.0,0,Dec-2016
2017-01-01,6,207750.0,3.45,1,"Columbia, MO",668.0,85.0,0,Jan-2017
2017-02-01,7,215000.0,3.5,2,"Columbia, MO",680.0,70.0,0,Feb-2017
2017-03-01,8,228725.0,3.52,3,"Columbia, MO",723.0,43.0,0,Mar-2017
2017-04-01,9,247900.0,4.03,4,"Columbia, MO",746.0,44.0,0,Apr-2017
2017-05-01,10,248050.0,4.32,5,"Columbia, MO",760.0,45.0,0,May-2017
2017-06-01,11,243875.0,4.2,6,"Columbia, MO",787.0,52.0,0,Jun-2017
2017-07-01,12,239500.0,4.19,7,"Columbia, MO",817.0,53.0,0,Jul-2017
2017-08-01,13,231450.0,4.3,8,"Columbia, MO",858.0,59.0,0,Aug-2017
2017-09-01,14,222450.0,4.1,9,"Columbia, MO",892.0,61.0,0,Sep-2017
2017-10-01,15,224900.0,4.05,10,"Columbia, MO",904.0,59.0,0,Oct-2017
2017-11-01,16,218950.0,3.94,11,"Columbia, MO",866.0,62.0,0,Nov-2017
2017-12-01,17,220950.0,4.03,12,"Columbia, MO",800.0,73.0,0,Dec-2017
2018-01-01,18,224950.0,3.93,1,"Columbia, MO",751.0,79.0,0,Jan-2018
2018-02-01,19,225000.0,3.83,2,"Columbia, MO",763.0,72.0,0,Feb-2018
2018-03-01,20,235000.0,3.94,3,"Columbia, MO",827.0,53.0,0,Mar-2018
2018-04-01,21,245650.0,3.95,4,"Columbia, MO",856.0,45.0,0,Apr-2018
2018-05-01,22,252500.0,3.99,5,"Columbia, MO",902.0,47.0,0,May-2018
2018-06-01,23,249900.0,4.15,6,"Columbia, MO",913.0,56.0,0,Jun-2018
2018-07-01,24,248050.0,4.4,7,"Columbia, MO",922.0,64.0,0,Jul-2018
2018-08-01,25,237425.0,4.46,8,"Columbia, MO",952.0,65.0,0,Aug-2018
2018-09-01,26,234900.0,4.58,9,"Columbia, MO",999.0,64.0,0,Sep-2018
2018-10-01,27,232475.0,4.66,10,"Columbia, MO",1035.0,67.0,0,Oct-2018
2018-11-01,28,228625.0,4.62,11,"Columbia, MO",957.0,77.0,0,Nov-2018
2018-12-01,29,229000.0,4.54,12,"Columbia, MO",889.0,89.0,0,Dec-2018
2019-01-01,30,229000.0,4.6,1,"Columbia, MO",793.0,95.0,0,Jan-2019
2019-02-01,31,229125.0,4.72,2,"Columbia, MO",802.0,89.0,0,Feb-2019
2019-03-01,32,236429.0,4.9,3,"Columbia, MO",790.0,62.0,0,Mar-2019
2019-04-01,33,244962.0,4.94,4,"Columbia, MO",775.0,43.0,0,Apr-2019
2019-05-01,34,246125.0,4.75,5,"Columbia, MO",786.0,47.0,0,May-2019
2019-06-01,35,242500.0,4.51,6,"Columbia, MO",808.0,53.0,0,Jun-2019
2019-07-01,36,239950.0,4.41,7,"Columbia, MO",824.0,56.0,0,Jul-2019
2019-08-01,37,240882.0,4.41,8,"Columbia, MO",792.0,58.0,0,Aug-2019
2019-09-01,38,242355.0,4.2,9,"Columbia, MO",764.0,60.0,0,Sep-2019
2019-10-01,39,244975.0,4.14,10,"Columbia, MO",742.0,62.0,0,Oct-2019
2019-11-01,40,239950.0,3.84,11,"Columbia, MO",709.0,67.0,0,Nov-2019
2019-12-01,41,234975.0,3.81,12,"Columbia, MO",615.0,76.0,0,Dec-2019
2020-01-01,42,228725.0,3.75,1,"Columbia, MO",548.0,84.0,0,Jan-2020
2020-02-01,43,237900.0,3.73,2,"Columbia, MO",525.0,59.0,0,Feb-2020
2020-03-01,44,250725.0,3.78,3,"Columbia, MO",549.0,38.0,0,Mar-2020
2020-04-01,45,269450.0,3.75,4,"Columbia, MO",502.0,45.0,0,Apr-2020
2020-05-01,46,267000.0,3.74,5,"Columbia, MO",486.0,45.0,0,May-2020
2020-06-01,47,272450.0,3.72,6,"Columbia, MO",469.0,37.0,0,Jun-2020
2020-07-01,48,276950.0,3.49,7,"Columbia, MO",455.0,38.0,0,Jul-2020
2020-08-01,49,276900.0,3.65,8,"Columbia, MO",439.0,42.0,0,Aug-2020
2020-09-01,50,264900.0,3.33,9,"Columbia, MO",410.0,44.0,0,Sep-2020
2020-10-01,51,248900.0,3.28,10,"Columbia, MO",399.0,37.0,0,Oct-2020
2020-11-01,52,245000.0,3.21,11,"Columbia, MO",376.0,41.0,0,Nov-2020
2020-12-01,53,253175.0,3.07,12,"Columbia, MO",331.0,54.0,0,Dec-2020
2021-01-01,54,254900.0,2.99,1,"Columbia, MO",265.0,58.0,0,Jan-2021
2021-02-01,55,248950.0,2.93,2,"Columbia, MO",201.0,28.0,0,Feb-2021
2021-03-01,56,269900.0,2.88,3,"Columbia, MO",213.0,18.0,0,Mar-2021
2021-04-01,57,292200.0,2.84,4,"Columbia, MO",200.0,21.0,0,Apr-2021
2021-05-01,58,275000.0,2.71,5,"Columbia, MO",225.0,15.0,0,May-2021
2021-06-01,59,274975.0,2.79,6,"Columbia, MO",267.0,16.0,0,Jun-2021
2021-07-01,60,275000.0,2.97,7,"Columbia, MO",311.0,22.0,0,Jul-2021
2021-08-01,61,268000.0,3.17,8,"Columbia, MO",314.0,28.0,0,Aug-2021
2021-09-01,62,251450.0,3.18,9,"Columbia, MO",303.0,31.0,0,Sep-2021
