date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,181900.0,3.72,7,"New Bern, NC",1249.0,91.0,0,Jul-2016
2016-08-01,1,182850.0,3.73,8,"New Bern, NC",1215.0,97.0,0,Aug-2016
2016-09-01,2,134950.0,3.66,9,"New Bern, NC",1826.0,117.0,0,Sep-2016
2016-10-01,3,184900.0,3.64,10,"New Bern, NC",1077.0,115.0,0,Oct-2016
2016-11-01,4,186450.0,3.66,11,"New Bern, NC",1012.0,118.0,0,Nov-2016
2016-12-01,5,181950.0,3.48,12,"New Bern, NC",968.0,124.0,0,Dec-2016
2017-01-01,6,183750.0,3.45,1,"New Bern, NC",905.0,126.0,0,Jan-2017
2017-02-01,7,197750.0,3.5,2,"New Bern, NC",908.0,119.0,0,Feb-2017
2017-03-01,8,206819.0,3.52,3,"New Bern, NC",896.0,101.0,0,Mar-2017
2017-04-01,9,207000.0,4.03,4,"New Bern, NC",900.0,79.0,0,Apr-2017
2017-05-01,10,207750.0,4.32,5,"New Bern, NC",893.0,80.0,0,May-2017
2017-06-01,11,208525.0,4.2,6,"New Bern, NC",882.0,84.0,0,Jun-2017
2017-07-01,12,204000.0,4.19,7,"New Bern, NC",858.0,85.0,0,Jul-2017
2017-08-01,13,204900.0,4.3,8,"New Bern, NC",838.0,88.0,0,Aug-2017
2017-09-01,14,200000.0,4.1,9,"New Bern, NC",839.0,86.0,0,Sep-2017
2017-10-01,15,202000.0,4.05,10,"New Bern, NC",824.0,84.0,0,Oct-2017
2017-11-01,16,199000.0,3.94,11,"New Bern, NC",818.0,91.0,0,Nov-2017
2017-12-01,17,195000.0,4.03,12,"New Bern, NC",812.0,102.0,0,Dec-2017
2018-01-01,18,194975.0,3.93,1,"New Bern, NC",759.0,113.0,0,Jan-2018
2018-02-01,19,193425.0,3.83,2,"New Bern, NC",750.0,111.0,0,Feb-2018
2018-03-01,20,195950.0,3.94,3,"New Bern, NC",752.0,89.0,0,Mar-2018
2018-04-01,21,198825.0,3.95,4,"New Bern, NC",793.0,66.0,0,Apr-2018
2018-05-01,22,198675.0,3.99,5,"New Bern, NC",833.0,61.0,0,May-2018
2018-06-01,23,200000.0,4.15,6,"New Bern, NC",839.0,68.0,0,Jun-2018
2018-07-01,24,209550.0,4.4,7,"New Bern, NC",821.0,77.0,0,Jul-2018
2018-08-01,25,209950.0,4.46,8,"New Bern, NC",812.0,85.0,0,Aug-2018
2018-09-01,26,208500.0,4.58,9,"New Bern, NC",751.0,96.0,0,Sep-2018
2018-10-01,27,210000.0,4.66,10,"New Bern, NC",584.0,100.0,0,Oct-2018
2018-11-01,28,214605.0,4.62,11,"New Bern, NC",537.0,106.0,0,Nov-2018
2018-12-01,29,218750.0,4.54,12,"New Bern, NC",500.0,99.0,0,Dec-2018
2019-01-01,30,223785.0,4.6,1,"New Bern, NC",455.0,89.0,0,Jan-2019
2019-02-01,31,229156.0,4.72,2,"New Bern, NC",457.0,81.0,0,Feb-2019
2019-03-01,32,232657.0,4.9,3,"New Bern, NC",520.0,63.0,0,Mar-2019
2019-04-01,33,236908.0,4.94,4,"New Bern, NC",566.0,53.0,0,Apr-2019
2019-05-01,34,242705.0,4.75,5,"New Bern, NC",598.0,56.0,0,May-2019
