date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,142900.0,3.72,7,"Gloversville, NY",421.0,79.0,0,Jul-2016
2016-08-01,1,139900.0,3.73,8,"Gloversville, NY",402.0,96.0,0,Aug-2016
2016-09-01,2,139000.0,3.66,9,"Gloversville, NY",390.0,107.0,0,Sep-2016
2016-10-01,3,129950.0,3.64,10,"Gloversville, NY",361.0,110.0,0,Oct-2016
2016-11-01,4,130925.0,3.66,11,"Gloversville, NY",323.0,122.0,0,Nov-2016
2016-12-01,5,124900.0,3.48,12,"Gloversville, NY",297.0,138.0,0,Dec-2016
2017-01-01,6,122250.0,3.45,1,"Gloversville, NY",258.0,136.0,0,Jan-2017
2017-02-01,7,119225.0,3.5,2,"Gloversville, NY",257.0,129.0,0,Feb-2017
2017-03-01,8,114950.0,3.52,3,"Gloversville, NY",261.0,125.0,0,Mar-2017
2017-04-01,9,119450.0,4.03,4,"Gloversville, NY",275.0,101.0,0,Apr-2017
2017-05-01,10,126625.0,4.32,5,"Gloversville, NY",296.0,75.0,0,May-2017
2017-06-01,11,129900.0,4.2,6,"Gloversville, NY",314.0,69.0,0,Jun-2017
2017-07-01,12,135000.0,4.19,7,"Gloversville, NY",347.0,72.0,0,Jul-2017
2017-08-01,13,148000.0,4.3,8,"Gloversville, NY",359.0,73.0,0,Aug-2017
2017-09-01,14,149500.0,4.1,9,"Gloversville, NY",347.0,85.0,0,Sep-2017
2017-10-01,15,149700.0,4.05,10,"Gloversville, NY",334.0,93.0,0,Oct-2017
2017-11-01,16,149250.0,3.94,11,"Gloversville, NY",295.0,105.0,0,Nov-2017
2017-12-01,17,139000.0,4.03,12,"Gloversville, NY",268.0,115.0,0,Dec-2017
2018-01-01,18,136375.0,3.93,1,"Gloversville, NY",242.0,123.0,0,Jan-2018
2018-02-01,19,137625.0,3.83,2,"Gloversville, NY",223.0,119.0,0,Feb-2018
2018-03-01,20,135500.0,3.94,3,"Gloversville, NY",229.0,110.0,0,Mar-2018
2018-04-01,21,138200.0,3.95,4,"Gloversville, NY",235.0,96.0,0,Apr-2018
2018-05-01,22,159700.0,3.99,5,"Gloversville, NY",278.0,72.0,0,May-2018
2018-06-01,23,161450.0,4.15,6,"Gloversville, NY",301.0,59.0,0,Jun-2018
2018-07-01,24,159975.0,4.4,7,"Gloversville, NY",327.0,57.0,0,Jul-2018
2018-08-01,25,167450.0,4.46,8,"Gloversville, NY",315.0,64.0,0,Aug-2018
2018-09-01,26,164950.0,4.58,9,"Gloversville, NY",330.0,73.0,0,Sep-2018
2018-10-01,27,166200.0,4.66,10,"Gloversville, NY",317.0,88.0,0,Oct-2018
2018-11-01,28,159925.0,4.62,11,"Gloversville, NY",306.0,95.0,0,Nov-2018
2018-12-01,29,149900.0,4.54,12,"Gloversville, NY",281.0,113.0,0,Dec-2018
2019-01-01,30,153675.0,4.6,1,"Gloversville, NY",257.0,128.0,0,Jan-2019
2019-02-01,31,144950.0,4.72,2,"Gloversville, NY",250.0,130.0,0,Feb-2019
2019-03-01,32,150086.0,4.9,3,"Gloversville, NY",242.0,115.0,0,Mar-2019
2019-04-01,33,158450.0,4.94,4,"Gloversville, NY",243.0,97.0,0,Apr-2019
2019-05-01,34,168950.0,4.75,5,"Gloversville, NY",276.0,69.0,0,May-2019
2019-06-01,35,174900.0,4.51,6,"Gloversville, NY",299.0,64.0,0,Jun-2019
2019-07-01,36,177000.0,4.41,7,"Gloversville, NY",320.0,70.0,0,Jul-2019
2019-08-01,37,169609.0,4.41,8,"Gloversville, NY",329.0,77.0,0,Aug-2019
2019-09-01,38,158523.0,4.2,9,"Gloversville, NY",328.0,82.0,0,Sep-2019
2019-10-01,39,149450.0,4.14,10,"Gloversville, NY",320.0,87.0,0,Oct-2019
2019-11-01,40,139900.0,3.84,11,"Gloversville, NY",291.0,89.0,0,Nov-2019
2019-12-01,41,143475.0,3.81,12,"Gloversville, NY",271.0,98.0,0,Dec-2019
2020-01-01,42,141550.0,3.75,1,"Gloversville, NY",248.0,109.0,0,Jan-2020
2020-02-01,43,139000.0,3.73,2,"Gloversville, NY",248.0,111.0,0,Feb-2020
2020-03-01,44,156200.0,3.78,3,"Gloversville, NY",222.0,123.0,0,Mar-2020
2020-04-01,45,159225.0,3.75,4,"Gloversville, NY",207.0,141.0,0,Apr-2020
2020-05-01,46,169000.0,3.74,5,"Gloversville, NY",193.0,115.0,0,May-2020
2020-06-01,47,177950.0,3.72,6,"Gloversville, NY",172.0,90.0,0,Jun-2020
2020-07-01,48,159950.0,3.49,7,"Gloversville, NY",174.0,63.0,0,Jul-2020
2020-08-01,49,187000.0,3.65,8,"Gloversville, NY",168.0,60.0,0,Aug-2020
2020-09-01,50,187425.0,3.33,9,"Gloversville, NY",169.0,60.0,0,Sep-2020
2020-10-01,51,169900.0,3.28,10,"Gloversville, NY",147.0,67.0,0,Oct-2020
2020-11-01,52,159225.0,3.21,11,"Gloversville, NY",146.0,76.0,0,Nov-2020
2020-12-01,53,162425.0,3.07,12,"Gloversville, NY",126.0,81.0,0,Dec-2020
2021-01-01,54,149900.0,2.99,1,"Gloversville, NY",104.0,99.0,0,Jan-2021
2021-02-01,55,161175.0,2.93,2,"Gloversville, NY",94.0,124.0,0,Feb-2021
2021-03-01,56,149900.0,2.88,3,"Gloversville, NY",85.0,131.0,0,Mar-2021
2021-04-01,57,173425.0,2.84,4,"Gloversville, NY",90.0,73.0,0,Apr-2021
2021-05-01,58,198250.0,2.71,5,"Gloversville, NY",95.0,48.0,0,May-2021
2021-06-01,59,200000.0,2.79,6,"Gloversville, NY",116.0,34.0,0,Jun-2021
2021-07-01,60,215000.0,2.97,7,"Gloversville, NY",135.0,46.0,0,Jul-2021
2021-08-01,61,221900.0,3.17,8,"Gloversville, NY",144.0,48.0,0,Aug-2021
2021-09-01,62,216475.0,3.18,9,"Gloversville, NY",150.0,50.0,0,Sep-2021
2021-10-01,63,205000.0,3.0,10,"Gloversville, NY",145.0,66.0,0,Oct-2021
2021-11-01,64,194450.0,3.02,11,"Gloversville, NY",133.0,72.0,0,Nov-2021
2021-12-01,65,189000.0,2.98,12,"Gloversville, NY",119.0,82.0,0,Dec-2021
2022-01-01,66,197000.0,2.87,1,"Gloversville, NY",103.0,100.0,0,Jan-2022
2022-02-01,67,209450.0,3.01,2,"Gloversville, NY",82.0,104.0,0,Feb-2022
2022-03-01,68,218500.0,3.14,3,"Gloversville, NY",62.0,107.0,0,Mar-2022
2022-04-01,69,215000.0,3.1,4,"Gloversville, NY",67.0,68.0,0,Apr-2022
2022-05-01,70,207450.0,3.12,5,"Gloversville, NY",82.0,43.0,0,May-2022
2022-06-01,71,204425.0,3.56,6,"Gloversville, NY",109.0,37.0,0,Jun-2022
2022-07-01,72,221900.0,3.92,7,"Gloversville, NY",127.0,42.0,0,Jul-2022
2022-08-01,73,223150.0,4.67,8,"Gloversville, NY",132.0,54.0,0,Aug-2022
2022-09-01,74,207450.0,5.11,9,"Gloversville, NY",147.0,55.0,228811,Sep-2022
2022-10-01,75,217000.0,5.3,10,"Gloversville, NY",135.0,61.0,229882,Oct-2022
2022-11-01,76,212400.0,5.81,11,"Gloversville, NY",132.0,75.0,230959,Nov-2022
2022-12-01,77,199900.0,5.54,12,"Gloversville, NY",114.0,93.0,227718,Dec-2022
2023-01-01,78,209975.0,5.55,1,"Gloversville, NY",109.0,103.0,226772,Jan-2023
2023-02-01,79,213750.0,6.7,2,"Gloversville, NY",107.0,100.0,224690,Feb-2023
2023-03-01,80,210000.0,7.08,3,"Gloversville, NY",94.0,80.0,229532,Mar-2023
2023-04-01,81,209900.0,7.08,4,"Gloversville, NY",93.0,73.0,229775,Apr-2023
2023-05-01,82,227450.0,6.49,5,"Gloversville, NY",102.0,45.0,228942,May-2023
2023-06-01,83,225975.0,6.48,6,"Gloversville, NY",110.0,46.0,228814,Jun-2023
2023-07-01,84,224950.0,6.5,7,"Gloversville, NY",135.0,53.0,230375,Jul-2023
