date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,156000.0,3.72,7,"Sierra Vista-Douglas, AZ",868.0,90.0,0,Jul-2016
2016-08-01,1,155500.0,3.73,8,"Sierra Vista-Douglas, AZ",830.0,91.0,0,Aug-2016
2016-09-01,2,156475.0,3.66,9,"Sierra Vista-Douglas, AZ",816.0,89.0,0,Sep-2016
2016-10-01,3,159000.0,3.64,10,"Sierra Vista-Douglas, AZ",834.0,83.0,0,Oct-2016
2016-11-01,4,156094.0,3.66,11,"Sierra Vista-Douglas, AZ",849.0,87.0,0,Nov-2016
2016-12-01,5,154000.0,3.48,12,"Sierra Vista-Douglas, AZ",843.0,92.0,0,Dec-2016
2017-01-01,6,155000.0,3.45,1,"Sierra Vista-Douglas, AZ",772.0,103.0,0,Jan-2017
2017-02-01,7,157500.0,3.5,2,"Sierra Vista-Douglas, AZ",781.0,97.0,0,Feb-2017
2017-03-01,8,155000.0,3.52,3,"Sierra Vista-Douglas, AZ",788.0,90.0,0,Mar-2017
2017-04-01,9,157000.0,4.03,4,"Sierra Vista-Douglas, AZ",789.0,80.0,0,Apr-2017
2017-05-01,10,157750.0,4.32,5,"Sierra Vista-Douglas, AZ",797.0,81.0,0,May-2017
2017-06-01,11,165000.0,4.2,6,"Sierra Vista-Douglas, AZ",811.0,85.0,0,Jun-2017
2017-07-01,12,166500.0,4.19,7,"Sierra Vista-Douglas, AZ",791.0,79.0,0,Jul-2017
2017-08-01,13,168975.0,4.3,8,"Sierra Vista-Douglas, AZ",781.0,78.0,0,Aug-2017
2017-09-01,14,170000.0,4.1,9,"Sierra Vista-Douglas, AZ",779.0,77.0,0,Sep-2017
2017-10-01,15,168750.0,4.05,10,"Sierra Vista-Douglas, AZ",792.0,79.0,0,Oct-2017
2017-11-01,16,165000.0,3.94,11,"Sierra Vista-Douglas, AZ",812.0,81.0,0,Nov-2017
2017-12-01,17,165000.0,4.03,12,"Sierra Vista-Douglas, AZ",810.0,87.0,0,Dec-2017
2018-01-01,18,169450.0,3.93,1,"Sierra Vista-Douglas, AZ",763.0,97.0,0,Jan-2018
2018-02-01,19,174925.0,3.83,2,"Sierra Vista-Douglas, AZ",745.0,98.0,0,Feb-2018
2018-03-01,20,170750.0,3.94,3,"Sierra Vista-Douglas, AZ",708.0,96.0,0,Mar-2018
2018-04-01,21,176000.0,3.95,4,"Sierra Vista-Douglas, AZ",660.0,85.0,0,Apr-2018
2018-05-01,22,178925.0,3.99,5,"Sierra Vista-Douglas, AZ",654.0,85.0,0,May-2018
2018-06-01,23,185000.0,4.15,6,"Sierra Vista-Douglas, AZ",690.0,79.0,0,Jun-2018
2018-07-01,24,189500.0,4.4,7,"Sierra Vista-Douglas, AZ",677.0,77.0,0,Jul-2018
2018-08-01,25,184950.0,4.46,8,"Sierra Vista-Douglas, AZ",667.0,75.0,0,Aug-2018
2018-09-01,26,179900.0,4.58,9,"Sierra Vista-Douglas, AZ",663.0,82.0,0,Sep-2018
2018-10-01,27,180200.0,4.66,10,"Sierra Vista-Douglas, AZ",639.0,89.0,0,Oct-2018
2018-11-01,28,185000.0,4.62,11,"Sierra Vista-Douglas, AZ",635.0,96.0,0,Nov-2018
2018-12-01,29,185000.0,4.54,12,"Sierra Vista-Douglas, AZ",617.0,102.0,0,Dec-2018
2019-01-01,30,189250.0,4.6,1,"Sierra Vista-Douglas, AZ",593.0,95.0,0,Jan-2019
2019-02-01,31,186225.0,4.72,2,"Sierra Vista-Douglas, AZ",590.0,85.0,0,Feb-2019
2019-03-01,32,192400.0,4.9,3,"Sierra Vista-Douglas, AZ",562.0,75.0,0,Mar-2019
2019-04-01,33,196550.0,4.94,4,"Sierra Vista-Douglas, AZ",533.0,70.0,0,Apr-2019
2019-05-01,34,196750.0,4.75,5,"Sierra Vista-Douglas, AZ",513.0,70.0,0,May-2019
2019-06-01,35,196500.0,4.51,6,"Sierra Vista-Douglas, AZ",549.0,66.0,0,Jun-2019
2019-07-01,36,198125.0,4.41,7,"Sierra Vista-Douglas, AZ",564.0,68.0,0,Jul-2019
2019-08-01,37,198341.0,4.41,8,"Sierra Vista-Douglas, AZ",564.0,73.0,0,Aug-2019
2019-09-01,38,198852.0,4.2,9,"Sierra Vista-Douglas, AZ",552.0,77.0,0,Sep-2019
2019-10-01,39,199598.0,4.14,10,"Sierra Vista-Douglas, AZ",542.0,80.0,0,Oct-2019
2019-11-01,40,199950.0,3.84,11,"Sierra Vista-Douglas, AZ",513.0,80.0,0,Nov-2019
2019-12-01,41,204450.0,3.81,12,"Sierra Vista-Douglas, AZ",487.0,82.0,0,Dec-2019
2020-01-01,42,199750.0,3.75,1,"Sierra Vista-Douglas, AZ",460.0,80.0,0,Jan-2020
2020-02-01,43,203000.0,3.73,2,"Sierra Vista-Douglas, AZ",427.0,78.0,0,Feb-2020
2020-03-01,44,199999.0,3.78,3,"Sierra Vista-Douglas, AZ",402.0,67.0,0,Mar-2020
2020-04-01,45,207200.0,3.75,4,"Sierra Vista-Douglas, AZ",340.0,50.0,0,Apr-2020
2020-05-01,46,211750.0,3.74,5,"Sierra Vista-Douglas, AZ",340.0,44.0,0,May-2020
2020-06-01,47,215100.0,3.72,6,"Sierra Vista-Douglas, AZ",316.0,64.0,0,Jun-2020
2020-07-01,48,211750.0,3.49,7,"Sierra Vista-Douglas, AZ",298.0,64.0,0,Jul-2020
2020-08-01,49,225000.0,3.65,8,"Sierra Vista-Douglas, AZ",274.0,58.0,0,Aug-2020
2020-09-01,50,218725.0,3.33,9,"Sierra Vista-Douglas, AZ",252.0,56.0,0,Sep-2020
2020-10-01,51,219900.0,3.28,10,"Sierra Vista-Douglas, AZ",250.0,54.0,0,Oct-2020
2020-11-01,52,218700.0,3.21,11,"Sierra Vista-Douglas, AZ",232.0,62.0,0,Nov-2020
2020-12-01,53,215000.0,3.07,12,"Sierra Vista-Douglas, AZ",243.0,58.0,0,Dec-2020
2021-01-01,54,219950.0,2.99,1,"Sierra Vista-Douglas, AZ",227.0,54.0,0,Jan-2021
2021-02-01,55,225000.0,2.93,2,"Sierra Vista-Douglas, AZ",205.0,53.0,0,Feb-2021
2021-03-01,56,240250.0,2.88,3,"Sierra Vista-Douglas, AZ",200.0,50.0,0,Mar-2021
2021-04-01,57,245000.0,2.84,4,"Sierra Vista-Douglas, AZ",184.0,56.0,0,Apr-2021
2021-05-01,58,245000.0,2.71,5,"Sierra Vista-Douglas, AZ",197.0,43.0,0,May-2021
