date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,113700.0,3.72,7,"Malvern, AR",171.0,88.0,0,Jul-2016
2016-08-01,1,109923.0,3.73,8,"Malvern, AR",174.0,90.0,0,Aug-2016
2016-09-01,2,112950.0,3.66,9,"Malvern, AR",175.0,88.0,0,Sep-2016
2016-10-01,3,111750.0,3.64,10,"Malvern, AR",165.0,104.0,0,Oct-2016
2016-11-01,4,110500.0,3.66,11,"Malvern, AR",150.0,98.0,0,Nov-2016
2016-12-01,5,112000.0,3.48,12,"Malvern, AR",136.0,114.0,0,Dec-2016
2017-01-01,6,113450.0,3.45,1,"Malvern, AR",128.0,116.0,0,Jan-2017
2017-02-01,7,108975.0,3.5,2,"Malvern, AR",131.0,109.0,0,Feb-2017
2017-03-01,8,104950.0,3.52,3,"Malvern, AR",135.0,111.0,0,Mar-2017
2017-04-01,9,109000.0,4.03,4,"Malvern, AR",131.0,82.0,0,Apr-2017
2017-05-01,10,114675.0,4.32,5,"Malvern, AR",135.0,77.0,0,May-2017
2017-06-01,11,121175.0,4.2,6,"Malvern, AR",138.0,81.0,0,Jun-2017
2017-07-01,12,130000.0,4.19,7,"Malvern, AR",111.0,88.0,0,Jul-2017
2017-08-01,13,137425.0,4.3,8,"Malvern, AR",121.0,80.0,0,Aug-2017
2017-09-01,14,139250.0,4.1,9,"Malvern, AR",124.0,71.0,0,Sep-2017
2017-10-01,15,139000.0,4.05,10,"Malvern, AR",135.0,77.0,0,Oct-2017
2017-11-01,16,137175.0,3.94,11,"Malvern, AR",129.0,98.0,0,Nov-2017
2017-12-01,17,129900.0,4.03,12,"Malvern, AR",128.0,106.0,0,Dec-2017
2018-01-01,18,127750.0,3.93,1,"Malvern, AR",129.0,101.0,0,Jan-2018
2018-02-01,19,128725.0,3.83,2,"Malvern, AR",133.0,83.0,0,Feb-2018
2018-03-01,20,129900.0,3.94,3,"Malvern, AR",114.0,96.0,0,Mar-2018
2018-04-01,21,139250.0,3.95,4,"Malvern, AR",116.0,95.0,0,Apr-2018
2018-05-01,22,132588.0,3.99,5,"Malvern, AR",118.0,96.0,0,May-2018
2018-06-01,23,132500.0,4.15,6,"Malvern, AR",127.0,79.0,0,Jun-2018
2018-07-01,24,139250.0,4.4,7,"Malvern, AR",122.0,70.0,0,Jul-2018
