date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,175000.0,3.72,7,"Montgomery, AL",2532.0,78.0,0,Jul-2016
2016-08-01,1,172800.0,3.73,8,"Montgomery, AL",2526.0,83.0,0,Aug-2016
2016-09-01,2,169900.0,3.66,9,"Montgomery, AL",2512.0,85.0,0,Sep-2016
2016-10-01,3,168400.0,3.64,10,"Montgomery, AL",2441.0,89.0,0,Oct-2016
2016-11-01,4,165000.0,3.66,11,"Montgomery, AL",2302.0,99.0,0,Nov-2016
2016-12-01,5,165000.0,3.48,12,"Montgomery, AL",2160.0,107.0,0,Dec-2016
2017-01-01,6,164950.0,3.45,1,"Montgomery, AL",2072.0,111.0,0,Jan-2017
2017-02-01,7,168950.0,3.5,2,"Montgomery, AL",2160.0,98.0,0,Feb-2017
2017-03-01,8,169950.0,3.52,3,"Montgomery, AL",2187.0,76.0,0,Mar-2017
2017-04-01,9,170000.0,4.03,4,"Montgomery, AL",2182.0,73.0,0,Apr-2017
2017-05-01,10,170300.0,4.32,5,"Montgomery, AL",2192.0,74.0,0,May-2017
2017-06-01,11,171425.0,4.2,6,"Montgomery, AL",2161.0,77.0,0,Jun-2017
2017-07-01,12,171000.0,4.19,7,"Montgomery, AL",2235.0,76.0,0,Jul-2017
2017-08-01,13,169900.0,4.3,8,"Montgomery, AL",2227.0,77.0,0,Aug-2017
2017-09-01,14,178900.0,4.1,9,"Montgomery, AL",2191.0,79.0,0,Sep-2017
2017-10-01,15,174900.0,4.05,10,"Montgomery, AL",2161.0,85.0,0,Oct-2017
2017-11-01,16,169950.0,3.94,11,"Montgomery, AL",2068.0,90.0,0,Nov-2017
2017-12-01,17,172000.0,4.03,12,"Montgomery, AL",1955.0,95.0,0,Dec-2017
2018-01-01,18,170950.0,3.93,1,"Montgomery, AL",1893.0,99.0,0,Jan-2018
2018-02-01,19,177875.0,3.83,2,"Montgomery, AL",1892.0,96.0,0,Feb-2018
2018-03-01,20,179900.0,3.94,3,"Montgomery, AL",1967.0,71.0,0,Mar-2018
2018-04-01,21,189900.0,3.95,4,"Montgomery, AL",2066.0,66.0,0,Apr-2018
2018-05-01,22,194800.0,3.99,5,"Montgomery, AL",2075.0,66.0,0,May-2018
2018-06-01,23,194900.0,4.15,6,"Montgomery, AL",2086.0,74.0,0,Jun-2018
2018-07-01,24,197450.0,4.4,7,"Montgomery, AL",2057.0,75.0,0,Jul-2018
2018-08-01,25,199475.0,4.46,8,"Montgomery, AL",1979.0,78.0,0,Aug-2018
2018-09-01,26,199900.0,4.58,9,"Montgomery, AL",1941.0,79.0,0,Sep-2018
2018-10-01,27,196225.0,4.66,10,"Montgomery, AL",1917.0,80.0,0,Oct-2018
2018-11-01,28,194900.0,4.62,11,"Montgomery, AL",1821.0,85.0,0,Nov-2018
2018-12-01,29,189900.0,4.54,12,"Montgomery, AL",1742.0,92.0,0,Dec-2018
2019-01-01,30,191500.0,4.6,1,"Montgomery, AL",1652.0,100.0,0,Jan-2019
2019-02-01,31,196950.0,4.72,2,"Montgomery, AL",1681.0,84.0,0,Feb-2019
2019-03-01,32,207900.0,4.9,3,"Montgomery, AL",1678.0,73.0,0,Mar-2019
2019-04-01,33,220700.0,4.94,4,"Montgomery, AL",1729.0,65.0,0,Apr-2019
2019-05-01,34,224700.0,4.75,5,"Montgomery, AL",1646.0,61.0,0,May-2019
